dataset,method,fl.lr,val,curve_last,best_round
ciciot2023,scaffold,0.01,0.604947846059962,0.604947846059962,50.0
ciciot2023,scaffold,0.02,0.5825302939027827,0.553026270508289,40.0
ciciot2023,scaffold,0.05,0.5644611306390145,0.4934201437647597,40.0
ciciot2023,scaffold,0.1,0.5355615263106007,0.4502564361834499,40.0
ciciot2023,scaffold_sfs,0.01,0.4843712627746549,0.47359508063128525,30.0
ciciot2023,scaffold_sfs,0.02,0.4797384414167083,0.4609918711102171,30.0
ciciot2023,scaffold_sfs,0.05,0.5002906555130466,0.4361834317504078,40.0
ciciot2023,scaffold_sfs,0.1,0.48012330937845604,0.4800011358269573,30.0
edgeiiot,scaffold,0.01,0.803022773639766,0.7543730540359229,40.0
edgeiiot,scaffold,0.02,0.8334988371150163,0.8143223498343376,40.0
edgeiiot,scaffold,0.05,0.7578496841839925,0.7578496841839925,50.0
edgeiiot,scaffold,0.1,0.6736590759355364,0.6662167860740624,45.0
edgeiiot,scaffold_sfs,0.01,0.6112308103566736,0.5745811097737439,15.0
edgeiiot,scaffold_sfs,0.02,0.6117786816396509,0.5623606670388597,15.0
edgeiiot,scaffold_sfs,0.05,0.6355937226370542,0.5133704571941062,45.0
edgeiiot,scaffold_sfs,0.1,0.6280907571688701,0.5192553127540921,45.0
