Method,CICIoT2023 (fine),CICIoT2023 (grouped),Edge-IIoTset (fine),Edge-IIoTset (grouped)
\multicolumn{5}{l}{\textit{Global model}},,,,
FedAvg,51.60 $\pm$ 1.80,53.71 $\pm$ 2.27,73.62 $\pm$ 4.90,77.69 $\pm$ 6.95
FedProx,51.79 $\pm$ 2.41,55.57 $\pm$ 0.88,74.39 $\pm$ 6.47,80.74 $\pm$ 5.47
SCAFFOLD,\textbf{61.37 $\pm$ 2.58},\textbf{65.05 $\pm$ 2.39},\textbf{85.94 $\pm$ 4.63},\textbf{86.97 $\pm$ 3.40}
FedLC,48.62 $\pm$ 1.36,56.67 $\pm$ 3.51,61.51 $\pm$ 8.49,70.68 $\pm$ 2.53
FedRS,51.46 $\pm$ 2.38,54.70 $\pm$ 2.67,73.89 $\pm$ 4.89,78.39 $\pm$ 6.77
StatAvg,51.41 $\pm$ 0.89,58.36 $\pm$ 2.05,66.74 $\pm$ 3.20,85.66 $\pm$ 1.67
FedProx + SFS,51.96 $\pm$ 0.93,59.73 $\pm$ 1.41,68.38 $\pm$ 3.97,85.87 $\pm$ 0.85
SCAFFOLD + SFS,48.13 $\pm$ 2.10,57.45 $\pm$ 1.13,66.40 $\pm$ 4.85,83.71 $\pm$ 1.92
FedLC + SFS,51.25 $\pm$ 2.21,60.20 $\pm$ 1.60,66.57 $\pm$ 4.07,85.93 $\pm$ 1.81
FedRS + SFS,51.97 $\pm$ 1.37,58.35 $\pm$ 2.18,67.20 $\pm$ 2.68,86.09 $\pm$ 1.62
FedStaP (ours),56.47 $\pm$ 0.57,63.01 $\pm$ 0.66,75.56 $\pm$ 4.38,86.60 $\pm$ 2.25
\multicolumn{5}{l}{\textit{Personalised reference (local BatchNorm)}},,,,
FedBN,70.85 $\pm$ 1.90,74.41 $\pm$ 3.35,93.71 $\pm$ 1.78,96.35 $\pm$ 0.81
FedBN + SFS,71.09 $\pm$ 1.99,75.66 $\pm$ 2.01,93.82 $\pm$ 1.41,96.34 $\pm$ 1.14
\multicolumn{5}{l}{\textit{Pooled-data reference}},,,,
Centralised,62.06 $\pm$ 0.43,67.47 $\pm$ 0.72,88.62 $\pm$ 0.25,95.49 $\pm$ 0.24
