federation.alpha,dataset,method,mean,std,count
0.05,ciciot2023,fedavg,0.4265712977341019,0.11899299377355216,3
0.05,ciciot2023,fedlc,0.3848672776683784,0.11801925894842262,3
0.05,ciciot2023,fedstap,0.46366720900260505,0.03289098201064005,3
0.05,ciciot2023,scaffold,0.6108989746921175,0.04807789245259269,3
0.05,ciciot2023,statavg,0.4067809023122484,0.03676278926313811,3
0.05,edgeiiot,fedavg,0.5238074534920099,0.09984709406158532,3
0.05,edgeiiot,fedlc,0.3252370718109016,0.031994528450287905,3
0.05,edgeiiot,fedstap,0.619381913485249,0.14853863595773256,3
0.05,edgeiiot,scaffold,0.7238451349524079,0.09940719910847692,3
0.05,edgeiiot,statavg,0.4793206701460442,0.10414495364504095,3
0.1,ciciot2023,fedavg,0.5264076465183668,0.015439076724055745,3
0.1,ciciot2023,fedlc,0.49280951371178744,0.005256506740283533,3
0.1,ciciot2023,fedstap,0.5658322109840425,0.0001577513370997947,3
0.1,ciciot2023,scaffold,0.6035298327478662,0.03021856294432412,3
0.1,ciciot2023,statavg,0.5199580061949405,0.0024761579537860576,3
0.1,edgeiiot,fedavg,0.7237337154803617,0.003466811417148309,3
0.1,edgeiiot,fedlc,0.59956080234996,0.03222126756249037,3
0.1,edgeiiot,fedstap,0.7356278191061336,0.048404593067399575,3
0.1,edgeiiot,scaffold,0.850080374274674,0.06130840454198908,3
0.1,edgeiiot,statavg,0.6512910673032851,0.032110264028730254,3
0.5,ciciot2023,fedavg,0.5587673930373661,0.0056648089949221415,3
0.5,ciciot2023,fedlc,0.5538976531069033,0.0034697298194878773,3
0.5,ciciot2023,fedstap,0.6021663458125746,0.004424931382467985,3
0.5,ciciot2023,scaffold,0.5836442129688231,0.0033511899057499113,3
0.5,ciciot2023,statavg,0.5752579753085884,0.0017918993178865446,3
0.5,edgeiiot,fedavg,0.755429314841081,0.013980466839787108,3
0.5,edgeiiot,fedlc,0.7493470655503108,0.018892450561208054,3
0.5,edgeiiot,fedstap,0.8663187251416211,0.004332087648393649,3
0.5,edgeiiot,scaffold,0.824817204848885,0.01033772963239116,3
0.5,edgeiiot,statavg,0.8275037658840416,0.011909257353769399,3
1.0,ciciot2023,fedavg,0.5707706658375461,0.0013072325984217824,3
1.0,ciciot2023,fedlc,0.5692956723514287,0.008724422393502929,3
1.0,ciciot2023,fedstap,0.6092866697925066,0.004372403240577967,3
1.0,ciciot2023,scaffold,0.5827796246416065,0.009594570216517825,3
1.0,ciciot2023,statavg,0.5886981101803631,0.005582249995780355,3
1.0,edgeiiot,fedavg,0.7854077067888952,0.029457515287732862,3
1.0,edgeiiot,fedlc,0.7738287523829405,0.02587047925570467,3
1.0,edgeiiot,fedstap,0.8697218534250811,0.0037207361311914224,3
1.0,edgeiiot,scaffold,0.815443517607001,0.030642276207474603,3
1.0,edgeiiot,statavg,0.8662515973671089,0.0074326616364157015,3
