method.beta,dataset,method,mean,std,count
0.0,ciciot2023,fedstac,0.5620263966120225,0.0047892790659275295,3
0.0,edgeiiot,fedstac,0.7957447929739939,0.010966331441515735,3
0.01,ciciot2023,fedstac,0.5637071200085768,0.004720136422758928,3
0.01,edgeiiot,fedstac,0.7879803084552143,0.0033209620809087357,3
0.1,ciciot2023,fedstac,0.5616892343870797,0.004717965669908404,3
0.1,edgeiiot,fedstac,0.7601609627422122,0.005038165449708039,3
1.0,ciciot2023,fedstac,0.5621828074493119,0.008390637963330795,3
1.0,edgeiiot,fedstac,0.7561616284089919,0.02558914682683123,3
10.0,ciciot2023,fedstac,0.5619285116645348,0.004026666930022518,3
10.0,edgeiiot,fedstac,0.7418960131731543,0.03430327511104961,3
