federation.n_clients,dataset,method,mean,std,count
10.0,ciciot2023,fedavg,0.49453632351050286,0.03867034009631396,3
10.0,ciciot2023,fedlc,0.47124695763115204,0.07109894626509981,3
10.0,ciciot2023,fedstap,0.5315193514910385,0.03926718413998589,3
10.0,ciciot2023,scaffold,0.6721158844315256,0.018146885531545257,3
10.0,ciciot2023,statavg,0.48622679832337834,0.04417086020746765,3
10.0,edgeiiot,fedavg,0.7829093034569713,0.055036196778467154,3
10.0,edgeiiot,fedlc,0.6650963364331033,0.1032713414611093,3
10.0,edgeiiot,fedstap,0.7309679501547772,0.046857313526464876,3
10.0,edgeiiot,scaffold,0.9245524797869719,0.029489311579312817,3
10.0,edgeiiot,statavg,0.6650490877210435,0.07707653886113654,3
20.0,ciciot2023,fedavg,0.5264076465183668,0.015439076724055745,3
20.0,ciciot2023,fedlc,0.49280951371178744,0.005256506740283533,3
20.0,ciciot2023,fedstap,0.5658322109840425,0.0001577513370997947,3
20.0,ciciot2023,scaffold,0.6039260121900338,0.02140877244672335,3
20.0,ciciot2023,statavg,0.5199580061949405,0.0024761579537860576,3
20.0,edgeiiot,fedavg,0.7237337154803617,0.003466811417148309,3
20.0,edgeiiot,fedlc,0.59956080234996,0.03222126756249037,3
20.0,edgeiiot,fedstap,0.7356278191061336,0.048404593067399575,3
20.0,edgeiiot,scaffold,0.8240086313961963,0.04056394367813012,3
20.0,edgeiiot,statavg,0.6512910673032851,0.032110264028730254,3
50.0,ciciot2023,fedavg,0.49494620332435185,0.03332521124502592,3
50.0,ciciot2023,fedlc,0.43108612902819043,0.05398088317820734,3
50.0,ciciot2023,fedstap,0.5567485819153271,0.012320714579066264,3
50.0,ciciot2023,scaffold,0.5173595163541308,0.021242367354512827,3
50.0,ciciot2023,statavg,0.5047360437589812,0.02397161692169022,3
50.0,edgeiiot,fedavg,0.5990438386080408,0.06481324407271924,3
50.0,edgeiiot,fedlc,0.5292222329260726,0.0232288379090078,3
50.0,edgeiiot,fedstap,0.7506609224270043,0.03931799336178375,3
50.0,edgeiiot,scaffold,0.7029162807786847,0.017700599566912608,3
50.0,edgeiiot,statavg,0.6427429741413206,0.02551023140583822,3
100.0,ciciot2023,fedavg,0.43748648920737826,0.010510385716649903,3
100.0,ciciot2023,fedlc,0.4089428332874312,0.020331469379363146,3
100.0,ciciot2023,fedstap,0.5549334538406004,0.007890923667641745,3
100.0,ciciot2023,scaffold,0.4575660801389667,0.022536646473366197,3
100.0,ciciot2023,statavg,0.5104221829093213,0.008635587728430774,3
100.0,edgeiiot,fedavg,0.6317261226550374,0.059726268673735324,3
100.0,edgeiiot,fedlc,0.5376878776704,0.053793324145697,3
100.0,edgeiiot,fedstap,0.6689946255646159,0.015865709232050926,3
100.0,edgeiiot,scaffold,0.7174316744432594,0.010306678753392466,3
100.0,edgeiiot,statavg,0.6009555111838109,0.021769710524059793,3
