fl.participation,dataset,method,mean,std,count
0.2,ciciot2023,fedavg,0.4116116872085615,0.05260125699111975,3
0.2,ciciot2023,fedstap,0.5453034533455554,0.012663912010112544,3
0.2,ciciot2023,scaffold,0.580032059033446,0.026835955896462843,3
0.2,edgeiiot,fedavg,0.49989964688345395,0.01853358477010122,3
0.2,edgeiiot,fedstap,0.7605412318484878,0.01937986679928745,3
0.2,edgeiiot,scaffold,0.7804144473438189,0.0576119832848066,3
0.5,ciciot2023,fedavg,0.5264076465183668,0.015439076724055745,3
0.5,ciciot2023,fedstap,0.5658322109840425,0.0001577513370997947,3
0.5,ciciot2023,scaffold,0.6035298327478662,0.03021856294432412,3
0.5,edgeiiot,fedavg,0.7237337154803617,0.003466811417148309,3
0.5,edgeiiot,fedstap,0.7356278191061336,0.048404593067399575,3
0.5,edgeiiot,scaffold,0.850080374274674,0.06130840454198908,3
1.0,ciciot2023,fedavg,0.5837991280059621,0.012997428779625396,3
1.0,ciciot2023,fedstap,0.5696213501403372,0.005941654808557918,3
1.0,ciciot2023,scaffold,0.5847396287103709,0.028044026822617973,3
1.0,edgeiiot,fedavg,0.7521373861424306,0.036294239887719015,3
1.0,edgeiiot,fedstap,0.7327614300737403,0.0592862859011178,3
1.0,edgeiiot,scaffold,0.8268874278229436,0.020477189072446784,3
