Baseline,$\Delta$ macro-F1 (pp),W/T/L,$p$ (Wilcoxon),$p_{\text{Holm}}$,$r_{rb}$
FedAvg,"+3.41 [+0.71, +5.80]",8/0/2,4.88e-02,1.11e-01,0.71
FedLC,"+10.95 [+7.36, +15.41]",10/0/0,1.95e-03,1.95e-02,1.00
FedLC + SFS,"+7.11 [+4.10, +10.20]",9/0/1,3.91e-03,3.12e-02,0.96
FedProx,"+2.93 [-0.58, +6.20]",7/0/3,1.60e-01,1.60e-01,0.53
FedProx + SFS,"+5.85 [+3.40, +8.52]",9/0/1,3.91e-03,3.12e-02,0.96
FedRS,"+3.34 [+0.73, +5.74]",8/0/2,3.71e-02,1.11e-01,0.75
FedRS + SFS,"+6.43 [+3.92, +8.92]",9/0/1,3.91e-03,3.12e-02,0.96
SCAFFOLD,"-7.01 [-9.28, -4.75]",0/0/10,1.95e-03,1.95e-02,-1.00
SCAFFOLD + SFS,"+6.38 [+2.47, +10.01]",9/0/1,1.37e-02,5.47e-02,0.85
StatAvg,"+6.94 [+4.36, +9.48]",9/0/1,3.91e-03,3.12e-02,0.96
