baseline,n_pairs,mean_diff,ci_low,ci_high,wins,ties,losses,wilcoxon_W,p_wilcoxon,rank_biserial,p_ttest,cohen_dz,p_holm
fedavg,20,0.06528794100283546,0.04787694717676201,0.08284073294770428,19,0,1,2.0,5.7220458984375e-06,0.9809523809523809,8.994933831593428e-07,1.5926775480241202,5.14984130859375e-05
fedbn,20,-0.13148816496454455,-0.14637438469649194,-0.11626899797123894,0,0,20,0.0,1.9073486328125e-06,-1.0,1.051612794720627e-12,-3.682768988240465,2.288818359375e-05
fedbn_sfs,20,-0.13543835132848417,-0.14914907437586516,-0.12110050870030757,0,0,20,0.0,1.9073486328125e-06,-1.0,1.584747587188537e-13,-4.092850410048697,2.288818359375e-05
fedlc,20,0.11312746681473122,0.08496801148461915,0.1421929535621192,20,0,0,0.0,1.9073486328125e-06,1.0,4.2163198909213285e-07,1.6796509284237955,2.288818359375e-05
fedlc_sfs,20,0.04694591033176672,0.0252984519640465,0.07067320734284067,16,0,4,18.0,0.0004825592041015625,0.8285714285714286,0.0008687355869309892,0.8821318074572662,0.000965118408203125
fedprox,20,0.050617316949182325,0.03272745754467751,0.06900266593259376,19,0,1,8.0,4.76837158203125e-05,0.9238095238095239,3.956371667142861e-05,1.1883848461507172,0.0003337860107421875
fedprox_sfs,20,0.04198990386102858,0.02305742134260645,0.0631808871849981,17,0,3,15.0,0.0002613067626953125,0.8571428571428571,0.0007498947826712747,0.896531876759547,0.0007839202880859375
fedrs,20,0.06074692815326514,0.04305553532285064,0.0780860982353835,19,0,1,4.0,1.33514404296875e-05,0.9619047619047619,2.4988672735081326e-06,1.4789337510401237,0.0001068115234375
fedrs_sfs,20,0.04780899303360317,0.02877219464669914,0.06874990279431452,17,0,3,10.0,8.20159912109375e-05,0.9047619047619048,0.00020700616507009632,1.022925018413958,0.0004100799560546875
scaffold,20,-0.035923365933959374,-0.05317945571005879,-0.01739325209449846,2,0,18,24.0,0.0014324188232421875,-0.7714285714285715,0.0013128168424042161,-0.8416961097193739,0.0014324188232421875
scaffold_sfs,20,0.044754259803481876,0.02514922424570888,0.06691759869341939,16,0,4,13.0,0.0001678466796875,0.8761904761904762,0.0006963507975415041,0.903783925109527,0.00067138671875
statavg,20,0.051376993853706046,0.03163346203766221,0.07301869563330293,18,0,2,8.0,4.76837158203125e-05,0.9238095238095239,0.00013221259806905252,1.0673138398484725,0.0003337860107421875
